BLR,BGR,CZE,EST,HUN,LVA,LTU,POL,SVK,RUS
73.5956104718098,69.9280900182649,73.033567952928,72.8587779776948,71.2505772361912,73.3792020696324,72.5005433757861,70.9436160754695,72.0849267317607,72.3177283174591
75.9728521947993,72.3523079495081,73.7203671077628,73.7907640734027,71.680416537937,74.1612754942172,74.346425667817,72.6012497486144,73.2729825460525,73.3495485059072
76.3916104276808,73.0696239085764,73.8820785054707,73.9289364658154,72.6353511022059,74.4193325888826,74.7224023143018,72.7099601826047,73.7617113923014,73.4756029217244
75.0443413278133,72.3931440170352,73.3062373269019,73.7182640231272,71.654372842551,73.6249451669999,73.4880463166997,72.4780986769987,73.2331807226225,73.1168988032744
75.8589284431336,73.0036957214958,73.9304946706116,74.1701948756099,72.6809120371459,74.1320419561124,74.8692993422631,73.2146031344083,73.8776917961945,73.6012506251526
77.2958109698141,73.8497845578794,73.9819115686335,74.7649166333795,73.1763328491799,75.3132810132473,75.8580698682181,73.2599813555368,74.1610250528314,74.3488910879857
76.6864264224599,73.973037623225,73.9393001978821,74.5246767338104,72.7971284665662,75.0448684151549,75.3179692661991,73.7667389431967,73.5424362016426,73.9930550793823
77.1441062208288,74.0543666862192,74.2092069903209,74.628568545766,73.5994112352677,74.8274364510815,75.6895853037915,74.1392340389066,73.8601050380128,74.2127878478266
76.7757922796653,73.4872525652237,74.1326893999583,75.0965637504974,73.3269990735526,74.4658894293246,75.8452256362967,73.9156889198135,74.3438090814808,74.0443869080471
76.9893025091523,74.1819143966156,73.8817493339376,74.8286921989048,73.1215393494924,74.835944235452,75.5668496731774,74.4710800994231,73.9240992275378,74.2072087055166
76.6391031063833,73.5691702974368,73.5238228543177,74.6096394610574,73.3022719865275,74.8211005769215,75.3772442714095,74.0683683797052,73.7099890194034,73.8838816301702
76.2172812945934,74.1526971388773,73.4383331551741,74.7472761695757,73.24252267402,74.4574622297883,75.4717957345853,74.2037242643819,73.5481996015632,73.9442841611267
76.9608082702875,73.8097093287596,73.7489034367564,75.0613159942549,73.2549764773395,74.9201134678194,76.1890335864785,74.0372259491797,73.8131275192415,74.1823119820845
76.6903815548229,73.8545906450325,74.10029819884,74.8182447551365,73.6848387787397,74.9112522125584,75.665073893572,74.9840163462431,74.5119428567483,74.0559335336332
76.6445840557497,74.4437153816591,74.0561776334907,74.8492025481973,73.642758334646,74.5741090846406,75.8487830222987,74.9761207490898,74.0755849729928,73.9894820769378
77.1099460143193,74.2725177022101,74.0120919765039,75.3776714652669,73.5971777378793,75.043059580765,76.0093661148483,75.251442771842,74.2864933656802,74.2421933834811
76.5659825313823,73.9516278302103,74.4203636238915,74.8673789067301,73.5963776421747,74.4511167316133,75.9414251611122,74.9277061022982,74.5350171410102,73.7151526114679
76.5209301626614,74.281464348615,74.5474992327984,74.511508551726,73.5335800968382,74.6278898883908,76.0970627913569,75.1608585284959,74.7374448941244,73.6181580750219
76.5244650128815,73.9754746068692,74.5044417289202,74.6711470128347,73.8378922732684,74.3246964404181,75.7040325372825,75.1852453920847,74.7469143565777,73.7203188347689
76.352437403676,74.0916141920945,74.4886764152233,74.6646585547838,73.4200118532242,74.3383031933521,75.6965151431463,75.1038458931807,74.6413066778488,73.7182855870666
76.216915221136,74.3270933110392,74.5168070782713,74.4234492111996,73.7892831230012,73.9548391180929,75.8037148327742,75.394046103951,74.9925853082991,73.462128146545
75.7797253701455,74.1609380479086,74.0910586620402,74.3921240195983,73.3196580530317,74.1999953578065,75.688789194534,74.9069981220148,74.6702012955161,73.375014146747
76.3466488086603,74.5765419234984,74.4969481635139,74.3305985185843,73.4117508878923,74.4379091418145,75.7772835247918,75.6536292908557,75.0374718359844,73.5574797456068
76.3187009697961,74.1773682895177,74.6130880875411,74.9459241877768,73.6099392858466,74.6499859124519,76.1463784476626,75.6332720367403,75.0691435784686,73.9780178372569
76.0652016190266,74.4462602150783,74.3684961926707,74.8864474209043,73.3324590753155,74.6933336009324,75.9723888188426,75.4993990028878,74.8283850686303,73.7411623266006
75.6232073429818,74.607415650005,74.602194840961,74.2751045894263,73.5952137113288,74.4263164545797,75.5064825554416,75.255775721503,75.1816891999839,73.2991270526926
75.3509109741557,74.3857801481023,74.8158049134884,74.4421823454349,73.5748685227218,74.0534031544547,75.4632178856842,75.0496033249812,75.0180965406415,73.5454298243923
76.3120555481849,74.9036204459912,74.7032786112419,75.3934289719484,73.5479352282809,75.0754776854724,76.3717516494839,75.3092681819954,75.09143769703,74.4828835007256
76.1919699476387,74.7411640515067,75.2296453657989,75.3617786810685,74.0044400479668,75.0079441953927,76.3713219650662,75.3785790948046,75.215770072283,74.531996295873
76.0801521507025,74.7730021732905,75.35164585021,74.9939306309632,74.2515253422302,74.9952225314364,76.2679628817235,75.7373655114409,75.451083885991,74.4982959011905
76.3191325978072,74.9847583379146,75.3322523243704,74.9708923100083,74.0097802261844,75.0246744633719,76.2189413107791,75.6067663904989,75.4588061726105,74.7175347891909
75.7710933162781,74.912006477293,75.3746351128619,74.8412309395755,74.0162029858382,74.5032990454721,76.1777249979959,75.6854439726619,75.3953713966378,74.528670947282
