"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1 year"	"1"	"Male"	"M"	"2017"	"2017"	215	345765	62.2
	"1 year"	"1"	"Male"	"M"	"2018"	"2018"	230	340323	67.6
	"1 year"	"1"	"Male"	"M"	"2019"	"2019"	224	330334	67.8
	"1 year"	"1"	"Male"	"M"	"2020 "	"2020"	248	343416	72.2
	"2 years"	"2"	"Female"	"F"	"2001"	"2001"	117	302097	38.7
	"2 years"	"2"	"Female"	"F"	"2002"	"2002"	124	305141	40.6
	"2 years"	"2"	"Female"	"F"	"2003"	"2003"	146	315778	46.2
	"2 years"	"2"	"Female"	"F"	"2004"	"2004"	133	307321	43.3
	"2 years"	"2"	"Female"	"F"	"2005"	"2005"	102	303493	33.6
	"2 years"	"2"	"Female"	"F"	"2006"	"2006"	156	309464	50.4
	"2 years"	"2"	"Female"	"F"	"2007"	"2007"	134	316799	42.3
	"2 years"	"2"	"Female"	"F"	"2008"	"2008"	115	325074	35.4
	"2 years"	"2"	"Female"	"F"	"2009"	"2009"	118	340167	34.7
	"2 years"	"2"	"Female"	"F"	"2010"	"2010"	112	341872	32.8
	"2 years"	"2"	"Female"	"F"	"2011"	"2011"	119	332572	35.8
	"2 years"	"2"	"Female"	"F"	"2012"	"2012"	102	331512	30.8
	"2 years"	"2"	"Female"	"F"	"2013"	"2013"	105	332784	31.6
	"2 years"	"2"	"Female"	"F"	"2014"	"2014"	124	331836	37.4
	"2 years"	"2"	"Female"	"F"	"2015"	"2015"	108	332938	32.4
	"2 years"	"2"	"Female"	"F"	"2016"	"2016"	132	336136	39.3
	"2 years"	"2"	"Female"	"F"	"2017"	"2017"	119	337776	35.2
	"2 years"	"2"	"Female"	"F"	"2018"	"2018"	117	336155	34.8
	"2 years"	"2"	"Female"	"F"	"2019"	"2019"	115	327001	35.2
	"2 years"	"2"	"Female"	"F"	"2020 "	"2020"	108	338841	31.9
	"2 years"	"2"	"Male"	"M"	"2001"	"2001"	162	312041	51.9
	"2 years"	"2"	"Male"	"M"	"2002"	"2002"	170	315094	54.0
	"2 years"	"2"	"Male"	"M"	"2003"	"2003"	179	325301	55.0
	"2 years"	"2"	"Male"	"M"	"2004"	"2004"	156	316471	49.3
	"2 years"	"2"	"Male"	"M"	"2005"	"2005"	150	314110	47.8
	"2 years"	"2"	"Male"	"M"	"2006"	"2006"	156	319897	48.8
	"2 years"	"2"	"Male"	"M"	"2007"	"2007"	159	327831	48.5
	"2 years"	"2"	"Male"	"M"	"2008"	"2008"	158	335635	47.1
