Gender,Age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
M,7,64,79,69,58,53,62,66,72,71,63
M,8,59,48,52,74,56,74,74,65,58,63
M,9,43,62,73,41,56,75,56,87,70,70
M,10,62,73,33,57,64,67,88,66,80,65
M,11,67,60,62,66,71,58,89,56,79,87
M,12,65,69,80,64,77,60,89,84,62,86
M,13,94,88,68,106,81,92,96,99,84,133
M,14,109,119,111,118,105,106,113,110,124,184
M,15,132,149,162,151,172,184,193,176,181,248
M,16,250,196,226,248,256,245,280,242,257,324
M,17,327,332,342,292,362,378,401,390,399,473
M,18,495,528,428,425,485,555,548,552,598,734
M,19,609,571,527,552,562,640,647,590,642,915
M,20,656,614,632,603,659,639,685,594,668,912
M,21,657,663,658,673,733,836,654,712,732,1003
M,22,688,756,728,713,777,834,762,683,723,1024
M,23,678,677,619,670,833,831,829,775,767,1060
M,24,632,641,719,731,784,914,858,826,782,1076
M,25,644,643,608,722,807,902,902,879,843,1137
M,26,630,620,651,654,767,845,986,852,913,1183
M,27,576,584,680,621,695,878,885,937,933,1287
M,28,598,609,630,634,733,844,945,937,975,1300
M,29,631,592,642,661,756,778,853,901,964,1281
M,30,641,628,660,627,710,766,802,909,960,1359
M,31,619,632,658,666,680,822,835,773,929,1370
M,32,608,631,666,651,722,821,818,867,896,1271
M,33,559,649,714,684,740,791,845,844,894,1259
M,34,597,679,689,702,774,852,895,882,939,1281
M,35,589,645,716,718,804,860,863,910,941,1224
M,36,600,649,691,700,757,870,917,867,976,1271
M,37,693,680,662,719,785,896,994,958,1054,1372
M,38,697,692,689,738,829,893,986,1017,1020,1354
M,39,744,720,765,754,843,856,996,1022,1074,1467
M,40,884,825,850,784,800,918,980,1035,1110,1471
M,41,824,924,825,878,873,939,983,1090,1125,1513
M,42,880,885,976,894,906,911,977,1005,1116,1471
M,43,1030,958,993,983,1047,1126,1067,1083,1140,1553
M,44,1021,1041,1047,1042,1123,1197,1131,1181,1188,1609
M,45,1243,1117,1127,1174,1191,1273,1306,1276,1234,1636
M,46,1323,1290,1256,1184,1230,1312,1414,1402,1348,1764
M,47,1511,1414,1458,1341,1327,1374,1507,1547,1465,1863
