label,value,year,Pop
Compression,0.0568259951254375,2011 - 2012,Chile
Compression,-0.0735264026452816,2012 - 2013,Chile
Compression,0.0799755217131011,2013 - 2014,Chile
Compression,-0.037739801488556,2014 - 2015,Chile
Compression,0.0956934623753668,2015 - 2016,Chile
Compression,0.116830941844899,2016 - 2017,Chile
Compression,0.0341225168930473,2017 - 2018,Chile
Compression,0.00508845595465758,2018 - 2019,Chile
Compression,-0.183340492855511,2019 - 2020,Chile
Shift,-0.331030068078535,2009 - 2010,Chile
Shift,0.649260574744548,2010 - 2011,Chile
Shift,-0.00347816927196823,2011 - 2012,Chile
Shift,0.127800477052676,2012 - 2013,Chile
Shift,0.180147039431505,2013 - 2014,Chile
Shift,0.177760553875329,2014 - 2015,Chile
Shift,0.340280276474152,2015 - 2016,Chile
Shift,0.112090864644762,2016 - 2017,Chile
Shift,0.332358837099051,2017 - 2018,Chile
Shift,0.111370895868108,2018 - 2019,Chile
Shift,-1.47798197995043,2019 - 2020,Chile
infant mortlaiy initial,-0.0121447932289612,2009 - 2010,Denmark
infant mortlaiy initial,0.00570443794906104,2010 - 2011,Denmark
infant mortlaiy initial,-8.31889082026532e-05,2011 - 2012,Denmark
infant mortlaiy initial,0.00468527432033077,2012 - 2013,Denmark
infant mortlaiy initial,-0.0429677499784014,2013 - 2014,Denmark
infant mortlaiy initial,0.0124302030248538,2014 - 2015,Denmark
infant mortlaiy initial,0.00517000737017779,2015 - 2016,Denmark
infant mortlaiy initial,-0.0131533915568652,2016 - 2017,Denmark
infant mortlaiy initial,0.00228839759056623,2017 - 2018,Denmark
infant mortlaiy initial,0.00941913233867943,2018 - 2019,Denmark
infant mortlaiy initial,-0.000378439296655917,2019 - 2020,Denmark
infant mortlaiy initial,0.00420829001180627,2020 - 2021,Denmark
infant mortality decrease,-0.00325646558688811,2009 - 2010,Denmark
infant mortality decrease,-0.0135187285593352,2010 - 2011,Denmark
infant mortality decrease,0.0489932087788595,2011 - 2012,Denmark
infant mortality decrease,-0.0747304664477683,2012 - 2013,Denmark
infant mortality decrease,0.0545397937233847,2013 - 2014,Denmark
infant mortality decrease,0.0413416742929813,2014 - 2015,Denmark
infant mortality decrease,-0.0549971045594848,2015 - 2016,Denmark
infant mortality decrease,0.0115333191230991,2016 - 2017,Denmark
infant mortality decrease,0.0403968486614357,2017 - 2018,Denmark
infant mortality decrease,0.00735092819831476,2018 - 2019,Denmark
infant mortality decrease,-0.0232429977471096,2019 - 2020,Denmark
infant mortality decrease,0.00803526846859127,2020 - 2021,Denmark
Background,0.0357172541309907,2009 - 2010,Denmark
Background,-0.027061818134268,2010 - 2011,Denmark
Background,0.0257739026173977,2011 - 2012,Denmark
Background,0.0356289682259914,2012 - 2013,Denmark
Background,0.0201186459289299,2013 - 2014,Denmark
Background,-0.0480045099090152,2014 - 2015,Denmark
Background,-0.0192472335971846,2015 - 2016,Denmark
Background,-0.0911237134559322,2016 - 2017,Denmark
Background,-0.0434708559963574,2017 - 2018,Denmark
Background,0.0590184913967612,2018 - 2019,Denmark
Background,-0.12374514557671,2019 - 2020,Denmark
Background,0.10503985976944,2020 - 2021,Denmark
Compression,0.0151085065936789,2009 - 2010,Denmark
Compression,0.0470242203730738,2010 - 2011,Denmark
Compression,0.0608014780192687,2011 - 2012,Denmark
Compression,0.0400095945579885,2012 - 2013,Denmark
Compression,-0.0411149529295205,2013 - 2014,Denmark
Compression,0.110176701517773,2014 - 2015,Denmark
Compression,-0.0146054257775562,2015 - 2016,Denmark
Compression,0.118694818538963,2016 - 2017,Denmark
Compression,0.0872519437811684,2017 - 2018,Denmark
Compression,-0.0902333298814556,2018 - 2019,Denmark
Compression,0.12617267483562,2019 - 2020,Denmark
Compression,0.0203625867546053,2020 - 2021,Denmark
Shift,0.271914571779026,2009 - 2010,Denmark
Shift,0.555147165898011,2010 - 2011,Denmark
Shift,0.246700313593968,2011 - 2012,Denmark
Shift,0.154515511933383,2012 - 2013,Denmark
Shift,0.432557934531324,2013 - 2014,Denmark
Shift,0.0595035392191261,2014 - 2015,Denmark
Shift,0.229859635917537,2015 - 2016,Denmark
Shift,0.141708995398056,2016 - 2017,Denmark
Shift,-0.124791049380563,2017 - 2018,Denmark
Shift,0.407491346214629,2018 - 2019,Denmark
Shift,0.135698250820522,2019 - 2020,Denmark
Shift,-0.155616094586591,2020 - 2021,Denmark
infant mortlaiy initial,0.000497562972060933,2009 - 2010,Finland
infant mortlaiy initial,0.000547812231822347,2010 - 2011,Finland
infant mortlaiy initial,0.00174956205221314,2011 - 2012,Finland
infant mortlaiy initial,0.00784009806121705,2012 - 2013,Finland
infant mortlaiy initial,-0.00589328825211391,2013 - 2014,Finland
infant mortlaiy initial,0.00762991995652065,2014 - 2015,Finland
infant mortlaiy initial,-0.00559324430990407,2015 - 2016,Finland
infant mortlaiy initial,0.0010588770773796,2016 - 2017,Finland
infant mortlaiy initial,0.000227702620780268,2017 - 2018,Finland
infant mortlaiy initial,-0.00198544654801116,2018 - 2019,Finland
infant mortlaiy initial,0.00256600781818331,2019 - 2020,Finland
infant mortlaiy initial,0.00339829148216388,2020 - 2021,Finland
infant mortality decrease,-1.54439476051428e-09,2009 - 2010,Finland
infant mortality decrease,-0.013635257246418,2010 - 2011,Finland
infant mortality decrease,0.0132483626899282,2011 - 2012,Finland
infant mortality decrease,-0.0146691801137705,2012 - 2013,Finland
infant mortality decrease,0.0143032551248117,2013 - 2014,Finland
infant mortality decrease,-6.70088154237231e-10,2014 - 2015,Finland
infant mortality decrease,-1.82863798561705e-10,2015 - 2016,Finland
infant mortality decrease,-3.00522494406987e-10,2016 - 2017,Finland
infant mortality decrease,1.23061793671946e-09,2017 - 2018,Finland
infant mortality decrease,-1.79878012267104e-10,2018 - 2019,Finland
infant mortality decrease,-1.20324060466621e-09,2019 - 2020,Finland
infant mortality decrease,1.24142097059678e-09,2020 - 2021,Finland
Background,-0.0891939108909232,2009 - 2010,Finland
Background,0.0411811687584567,2010 - 2011,Finland
Background,0.0322227416616317,2011 - 2012,Finland
Background,0.0649308236780022,2012 - 2013,Finland
Background,-0.0343476143467058,2013 - 2014,Finland
Background,0.110618224438112,2014 - 2015,Finland
Background,-0.0758949781513816,2015 - 2016,Finland
Background,-0.196392209544291,2016 - 2017,Finland
Background,0.0691818672442103,2017 - 2018,Finland
Background,-0.214669977479688,2018 - 2019,Finland
Background,-0.00285068074247615,2019 - 2020,Finland
