label,value,year,Pop
infant mortlaiy initial,0.713831927895327,1959 - 1964,Belarus
infant mortlaiy initial,0.200662154896934,1964 - 1969,Belarus
infant mortlaiy initial,0.10653608453825,1969 - 1974,Belarus
infant mortlaiy initial,-0.0278334489489536,1974 - 1979,Belarus
infant mortlaiy initial,0.0561502014120367,1979 - 1984,Belarus
infant mortlaiy initial,0.134141647197499,1984 - 1989,Belarus
infant mortlaiy initial,-0.0358597094916362,1989 - 1994,Belarus
infant mortlaiy initial,0.0208271656259511,1994 - 1999,Belarus
infant mortlaiy initial,0.128432932197477,1999 - 2004,Belarus
infant mortlaiy initial,0.0558792766342448,2004 - 2009,Belarus
infant mortlaiy initial,0.0175650020147694,2009 - 2014,Belarus
infant mortality decrease,0.0935226360928845,1959 - 1964,Belarus
infant mortality decrease,-0.116565469480877,1964 - 1969,Belarus
infant mortality decrease,0.0466228838923523,1969 - 1974,Belarus
infant mortality decrease,0.0336970767982483,1974 - 1979,Belarus
infant mortality decrease,0.0563874242211799,1979 - 1984,Belarus
infant mortality decrease,-0.0589837964672654,1984 - 1989,Belarus
infant mortality decrease,0.0328943221660036,1989 - 1994,Belarus
infant mortality decrease,-0.0276471885656494,1994 - 1999,Belarus
infant mortality decrease,0.04580196530896,1999 - 2004,Belarus
infant mortality decrease,-0.00271017704634839,2004 - 2009,Belarus
infant mortality decrease,0.0247813647406828,2009 - 2014,Belarus
Background,0.983341571275253,1959 - 1964,Belarus
Background,0.534928337614386,1964 - 1969,Belarus
Background,0.45475472685691,1969 - 1974,Belarus
Background,-0.047494386257102,1974 - 1979,Belarus
Background,0.132313510763629,1979 - 1984,Belarus
Background,0.0300423452106579,1984 - 1989,Belarus
Background,0.127055956019321,1989 - 1994,Belarus
Background,-1.37643716254346e-10,1994 - 1999,Belarus
Background,-3.22212640709926e-11,1999 - 2004,Belarus
Background,6.52761778303741e-11,2004 - 2009,Belarus
Background,-6.8490153597135e-11,2009 - 2014,Belarus
Compression,-0.156352518569126,1959 - 1964,Belarus
Compression,-0.112800134189614,1964 - 1969,Belarus
Compression,-0.374436392243252,1969 - 1974,Belarus
Compression,-0.105715677167975,1974 - 1979,Belarus
Compression,0.0010428939829939,1979 - 1984,Belarus
Compression,0.190638455054136,1984 - 1989,Belarus
Compression,-0.265786404441924,1989 - 1994,Belarus
Compression,-0.0292125358107092,1994 - 1999,Belarus
Compression,0.0450779707456865,1999 - 2004,Belarus
Compression,0.114343234415228,2004 - 2009,Belarus
Compression,0.374577676825937,2009 - 2014,Belarus
Shift,1.55195178561843,1959 - 1964,Belarus
Shift,-1.76816760610481,1964 - 1969,Belarus
Shift,-0.543309600173068,1969 - 1974,Belarus
Shift,-2.20922093559546,1974 - 1979,Belarus
Shift,-1.0980980344954,1979 - 1984,Belarus
Shift,1.19907728656714,1984 - 1989,Belarus
Shift,-3.28846189213627,1989 - 1994,Belarus
Shift,-1.2362507141041,1994 - 1999,Belarus
Shift,0.320582607543022,1999 - 2004,Belarus
Shift,1.20837861292171,2004 - 2009,Belarus
Shift,2.69521238650778,2009 - 2014,Belarus
infant mortlaiy initial,0.750007601606496,1959 - 1964,Bulgaria
infant mortlaiy initial,0.0519306200857749,1964 - 1969,Bulgaria
infant mortlaiy initial,0.135891589743509,1969 - 1974,Bulgaria
infant mortlaiy initial,0.144710843335002,1974 - 1979,Bulgaria
infant mortlaiy initial,0.142202791518713,1979 - 1984,Bulgaria
infant mortlaiy initial,0.0527765230525275,1984 - 1989,Bulgaria
infant mortlaiy initial,-0.0290778243251361,1989 - 1994,Bulgaria
infant mortlaiy initial,-0.0229921227824108,1994 - 1999,Bulgaria
infant mortlaiy initial,0.123923816503049,1999 - 2004,Bulgaria
infant mortlaiy initial,0.0987992326559044,2004 - 2009,Bulgaria
infant mortlaiy initial,0.0659162402243655,2009 - 2014,Bulgaria
infant mortality decrease,0.456769158122242,1959 - 1964,Bulgaria
infant mortality decrease,0.192666325312476,1964 - 1969,Bulgaria
infant mortality decrease,0.0651953321828473,1969 - 1974,Bulgaria
infant mortality decrease,-0.115823323951819,1974 - 1979,Bulgaria
infant mortality decrease,-0.0579742412879084,1979 - 1984,Bulgaria
infant mortality decrease,0.0173712069921876,1984 - 1989,Bulgaria
infant mortality decrease,0.0171716234701468,1989 - 1994,Bulgaria
infant mortality decrease,-0.051933756242719,1994 - 1999,Bulgaria
infant mortality decrease,-0.0270504916761616,1999 - 2004,Bulgaria
infant mortality decrease,0.136590660502112,2004 - 2009,Bulgaria
infant mortality decrease,-0.0637720769497829,2009 - 2014,Bulgaria
Background,0.366094458823684,1959 - 1964,Bulgaria
Background,0.00507295082418544,1964 - 1969,Bulgaria
Background,0.0661109596792147,1969 - 1974,Bulgaria
Background,0.124768589176137,1974 - 1979,Bulgaria
Background,0.103518536839717,1979 - 1984,Bulgaria
Background,0.204142480374965,1984 - 1989,Bulgaria
Background,0.0974122797261603,1989 - 1994,Bulgaria
Background,0.261014136871526,1994 - 1999,Bulgaria
Background,0.331076430713008,1999 - 2004,Bulgaria
Background,-0.0386373890682177,2004 - 2009,Bulgaria
Background,0.105920321449304,2009 - 2014,Bulgaria
Compression,0.0381434564010913,1959 - 1964,Bulgaria
Compression,0.0126089425535465,1964 - 1969,Bulgaria
Compression,0.0588932824188864,1969 - 1974,Bulgaria
Compression,-0.168287712612529,1974 - 1979,Bulgaria
Compression,-0.068339588544135,1979 - 1984,Bulgaria
Compression,-0.199764686575676,1984 - 1989,Bulgaria
Compression,-0.329915773595137,1989 - 1994,Bulgaria
Compression,0.223121210710206,1994 - 1999,Bulgaria
Compression,-0.0922107743066754,1999 - 2004,Bulgaria
Compression,-0.0553180398372592,2004 - 2009,Bulgaria
Compression,0.0877467872120707,2009 - 2014,Bulgaria
Shift,1.90942938372793,1959 - 1964,Bulgaria
Shift,-1.38976917411496,1964 - 1969,Bulgaria
Shift,0.0990536897324181,1969 - 1974,Bulgaria
Shift,-0.728878538006753,1974 - 1979,Bulgaria
Shift,-0.51859497220994,1979 - 1984,Bulgaria
Shift,-0.283112771877423,1984 - 1989,Bulgaria
Shift,-0.737528678691056,1989 - 1994,Bulgaria
Shift,0.588291225711916,1994 - 1999,Bulgaria
Shift,0.303608768962526,1999 - 2004,Bulgaria
Shift,0.873312770163284,2004 - 2009,Bulgaria
Shift,0.46412847935605,2009 - 2014,Bulgaria
infant mortlaiy initial,0.0327494322093193,1959 - 1964,Czechia
infant mortlaiy initial,-0.0717445156337363,1964 - 1969,Czechia
infant mortlaiy initial,0.0536944773449835,1969 - 1974,Czechia
infant mortlaiy initial,0.0743692420117608,1974 - 1979,Czechia
infant mortlaiy initial,0.0307945127345098,1979 - 1984,Czechia
infant mortlaiy initial,0.10127558562793,1984 - 1989,Czechia
infant mortlaiy initial,0.0818130304510937,1989 - 1994,Czechia
infant mortlaiy initial,0.0840402635612932,1994 - 1999,Czechia
infant mortlaiy initial,0.012675122147138,1999 - 2004,Czechia
infant mortlaiy initial,0.0246458422792002,2004 - 2009,Czechia
infant mortlaiy initial,0.00653538317004374,2009 - 2014,Czechia
infant mortality decrease,0.0740259733643334,1959 - 1964,Czechia
infant mortality decrease,0.101273561958863,1964 - 1969,Czechia
infant mortality decrease,0.0313901047070995,1969 - 1974,Czechia
infant mortality decrease,-0.0225525372496887,1974 - 1979,Czechia
infant mortality decrease,-0.0302338110772327,1979 - 1984,Czechia
infant mortality decrease,-0.00384237002158753,1984 - 1989,Czechia
infant mortality decrease,-0.0516788274595301,1989 - 1994,Czechia
infant mortality decrease,0.00978016298761047,1994 - 1999,Czechia
infant mortality decrease,0.0322506794632881,1999 - 2004,Czechia
infant mortality decrease,-0.00214482553608242,2004 - 2009,Czechia
infant mortality decrease,0.00350335009116706,2009 - 2014,Czechia
Background,0.117974199037179,1959 - 1964,Czechia
Background,-0.186825851931432,1964 - 1969,Czechia
Background,0.467474470404349,1969 - 1974,Czechia
Background,0.230122707140574,1974 - 1979,Czechia
Background,0.332441589794656,1979 - 1984,Czechia
Background,0.0361479382914444,1984 - 1989,Czechia
Background,-0.155129962640538,1989 - 1994,Czechia
Background,0.141711155174033,1994 - 1999,Czechia
Background,0.0439784358638014,1999 - 2004,Czechia
Background,0.0426372142129983,2004 - 2009,Czechia
Background,-0.00304411031907485,2009 - 2014,Czechia
Compression,-0.0820749743692735,1959 - 1964,Czechia
Compression,-0.152041780619318,1964 - 1969,Czechia
Compression,0.118216496035736,1969 - 1974,Czechia
Compression,-0.0762012316106601,1974 - 1979,Czechia
Compression,-0.0887471541157267,1979 - 1984,Czechia
Compression,-0.0391618021929632,1984 - 1989,Czechia
Compression,-0.0618411948896521,1989 - 1994,Czechia
Compression,0.0581299991924377,1994 - 1999,Czechia
Compression,0.0632733595338908,1999 - 2004,Czechia
Compression,0.0966259573641563,2004 - 2009,Czechia
Compression,0.147639451758106,2009 - 2014,Czechia
Shift,0.159635509590846,1959 - 1964,Czechia
Shift,-1.25992554622971,1964 - 1969,Czechia
Shift,0.184578351717494,1969 - 1974,Czechia
Shift,0.221612708367573,1974 - 1979,Czechia
Shift,-0.297233374796869,1979 - 1984,Czechia
Shift,0.489351715100945,1984 - 1989,Czechia
Shift,1.35153878441455,1989 - 1994,Czechia
Shift,1.38709827769267,1994 - 1999,Czechia
Shift,1.11149901716744,1999 - 2004,Czechia
Shift,1.31528726673098,2004 - 2009,Czechia
Shift,1.41726096714622,2009 - 2014,Czechia
infant mortlaiy initial,0.141791355261157,1959 - 1964,Estonia
infant mortlaiy initial,0.158484175121624,1964 - 1969,Estonia
infant mortlaiy initial,0.0385515822505052,1969 - 1974,Estonia
infant mortlaiy initial,-0.051979010445537,1974 - 1979,Estonia
infant mortlaiy initial,0.141526321400837,1979 - 1984,Estonia
infant mortlaiy initial,-0.0524608861965229,1984 - 1989,Estonia
infant mortlaiy initial,0.0477569023229533,1989 - 1994,Estonia
infant mortlaiy initial,0.103294535623971,1994 - 1999,Estonia
infant mortlaiy initial,0.104667564449675,1999 - 2004,Estonia
infant mortlaiy initial,0.0579977946446218,2004 - 2009,Estonia
infant mortlaiy initial,0.0437633541056922,2009 - 2014,Estonia
infant mortality decrease,0.0275640199598567,1959 - 1964,Estonia
infant mortality decrease,-0.0680527880313452,1964 - 1969,Estonia
infant mortality decrease,-0.0388232186521692,1969 - 1974,Estonia
infant mortality decrease,-0.0390481934687939,1974 - 1979,Estonia
infant mortality decrease,-0.0758733714301273,1979 - 1984,Estonia
infant mortality decrease,0.0415744669604902,1984 - 1989,Estonia
infant mortality decrease,0.162844998172385,1989 - 1994,Estonia
infant mortality decrease,-0.142358113287295,1994 - 1999,Estonia
infant mortality decrease,0.057636091637972,1999 - 2004,Estonia
infant mortality decrease,-0.0309456025955948,2004 - 2009,Estonia
infant mortality decrease,-0.0281523080902999,2009 - 2014,Estonia
Background,1.39355325433264,1959 - 1964,Estonia
Background,0.26491427560713,1964 - 1969,Estonia
Background,-0.548194667446442,1969 - 1974,Estonia
Background,1.0918138861911,1974 - 1979,Estonia
Background,0.449780818847524,1979 - 1984,Estonia
Background,-0.692452388243444,1984 - 1989,Estonia
Background,0.430339699681502,1989 - 1994,Estonia
Background,-6.46067989899135e-11,1994 - 1999,Estonia
Background,5.27296472132165e-10,1999 - 2004,Estonia
Background,1.14720122602674e-10,2004 - 2009,Estonia
Background,0.121825786018317,2009 - 2014,Estonia
Compression,-0.397961502484968,1959 - 1964,Estonia
Compression,-0.151379587602503,1964 - 1969,Estonia
Compression,0.112948257848158,1969 - 1974,Estonia
Compression,-0.526660808027522,1974 - 1979,Estonia
Compression,-0.0995362085941769,1979 - 1984,Estonia
Compression,0.332069945395687,1984 - 1989,Estonia
Compression,-1.04753969897226,1989 - 1994,Estonia
Compression,0.512459466225626,1994 - 1999,Estonia
Compression,0.0504185422776569,1999 - 2004,Estonia
Compression,0.416058957815066,2004 - 2009,Estonia
Compression,0.331468066430628,2009 - 2014,Estonia
Shift,0.479555959158652,1959 - 1964,Estonia
Shift,-1.52041531069917,1964 - 1969,Estonia
Shift,0.913855782281407,1969 - 1974,Estonia
Shift,-2.12426107450398,1974 - 1979,Estonia
Shift,-0.25559740338608,1979 - 1984,Estonia
Shift,1.58441773351742,1984 - 1989,Estonia
Shift,-5.10586948299819,1989 - 1994,Estonia
Shift,3.69649152310449,1994 - 1999,Estonia
Shift,1.10657603777498,1999 - 2004,Estonia
Shift,2.69973486528234,2004 - 2009,Estonia
Shift,2.17076489373186,2009 - 2014,Estonia
infant mortlaiy initial,0.295594525674284,1959 - 1964,Hungary
infant mortlaiy initial,0.129314135660325,1964 - 1969,Hungary
infant mortlaiy initial,-0.0609400141571063,1969 - 1974,Hungary
infant mortlaiy initial,0.291589550660027,1974 - 1979,Hungary
infant mortlaiy initial,0.0716303574369075,1979 - 1984,Hungary
infant mortlaiy initial,0.115474764817142,1984 - 1989,Hungary
infant mortlaiy initial,0.0870207948857948,1989 - 1994,Hungary
infant mortlaiy initial,0.0740054776207073,1994 - 1999,Hungary
infant mortlaiy initial,0.0375275190850065,1999 - 2004,Hungary
infant mortlaiy initial,0.0483105638058988,2004 - 2009,Hungary
infant mortlaiy initial,0.0065804949596644,2009 - 2014,Hungary
infant mortality decrease,0.15223475789608,1959 - 1964,Hungary
infant mortality decrease,0.127012312946492,1964 - 1969,Hungary
infant mortality decrease,0.0598523648962061,1969 - 1974,Hungary
infant mortality decrease,-0.0389443171661029,1974 - 1979,Hungary
infant mortality decrease,-0.0285021684103867,1979 - 1984,Hungary
infant mortality decrease,-0.0243446000613321,1984 - 1989,Hungary
infant mortality decrease,0.0104786090617985,1989 - 1994,Hungary
infant mortality decrease,-0.0598718890587095,1994 - 1999,Hungary
