year,gender,age,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2011,Female,0,5634.48422976285,28782.9146020254,18741.2860505561,42356.498866208,248369.316406735,32143.2488989136,18433.2974695791,4456.38102428118,5498.99376951237,104212.205524733,64617.1095135739,9205.91283705666,18442.0440053478,11242.8111956577,78966.0274146275,40721.0310414185,19576.6188395081,26664.5213595212,30145.8814165986,35939.9840882035,35894.8499307977,6183.49576409008,55278.4670905316,33452.2508369014,36885.675170654,19198.6788318756,5955.26906732124,58789.9189880732,4530.10667045743,12577.2374605059,6361.29982762824,52201.7753625256,13720.387162747,17419.7854756301,119201.676299388,66772.129359745,25627.5082069463,22416.3261101738,69551.6794338815,5330.87663852383,28000.0569786997,5761.03092806451,38257.3036181319,186381.149602512,25147.9660159277,49704.0032071891,2889.69032282061,42513.2005792977,32987.0155153882,9949.61754730773,3633.94787670278
2011,Female,1,5382.69346377716,28995.4428833308,18719.7759028804,42037.1464586512,242866.865184361,32686.1620132871,18705.2277509398,3633.20042831364,5413.30230665404,102374.429447849,64997.8888434593,8836.74652031125,19282.8791927305,11547.3525917109,79587.0219077548,40892.0068888735,19760.9762436668,26768.9718311124,29857.4313608552,35230.3157854823,35502.9582156036,6368.39645942716,56293.8192224975,33846.3123928267,36569.7404381835,19341.9083716346,5973.16351711071,59955.1024073302,4507.13570245758,12693.1535072976,6498.43014099999,51727.3049303483,13855.6521079179,17484.415460172,114375.440404687,67831.6816061726,25588.1070028895,22590.6975613027,69800.3995756881,5376.54390529016,28839.164378168,5721.65172996272,38466.8434143042,187692.368543079,25445.1368881802,49280.4629881737,2898.68154690121,43146.6747725395,33946.4959568377,9948.26559136247,3835.58207311946
2011,Female,2,5293.19710369093,29723.1344009726,19128.8081988794,43548.1166020873,243428.647548426,33336.9967380352,19231.803252635,3318.56532863924,5456.27622123736,103347.57022778,65961.6679819683,8679.13227339113,19772.1257749146,11752.3468319678,80209.9016406101,41948.8613722026,20076.6413506855,27502.663492582,30706.3717112273,35507.7965518225,35861.9181619816,6586.62804706009,57151.7402591002,34400.8122754869,37412.8522489654,20273.0395073224,6077.17870007348,61494.0400344734,4495.5904353403,12847.4198338075,6655.20140718498,52088.4899046695,14155.5220714251,18001.024902541,111677.599226103,69508.4271543483,26040.1686247179,23093.1884748927,70577.3660807206,5493.9857369606,29695.3751437411,5823.40425463841,39591.4654819078,188810.303572383,25721.4517358173,49492.5202918271,3031.72935083032,43793.3597005244,34730.8578246481,10139.9353034117,3957.10783018219
2011,Female,3,5263.0555195707,30357.8756286387,19600.9875180776,45198.4878906545,251338.654838548,33943.197801489,19854.1560285004,3200.28812332888,5545.64628041578,106848.404766832,68169.1027773825,8567.13814068773,20001.8368465879,11876.1652494775,82549.4207141506,43011.0014976867,20310.5428103581,28150.7177458115,31574.8624328087,36157.0529837598,36328.7709188843,6794.93780852902,58648.8401637105,35496.7348962305,38446.8900306984,21162.811768349,6172.30857053301,62733.6771527831,4468.1831646775,12969.8713959699,6840.95092141354,53710.8889345429,14407.3338111636,18462.2333728145,113461.269735307,71062.8522284243,26468.5591464437,23551.3304579162,72153.4434336204,5626.26557006513,30225.1664256093,5931.10370732959,40668.9397072752,192842.826993447,25776.7480458513,50826.2994623382,3185.2143963396,44053.1087313622,35287.7606754426,10317.5964113061,3997.2215485541
2011,Female,4,5202.10751882614,30343.6938417257,19769.3204895157,45348.4339110482,252359.276224529,34335.9468708587,20394.6535190501,3066.88135424242,5598.97777726794,108003.695049017,68901.642322911,8378.52948555629,20076.6267601049,11943.3177630083,83107.0413959891,43243.6806188095,20278.0917581747,28099.6884606621,31414.4116812677,36563.6913589566,36314.4559414654,6949.12511004731,59335.1347994485,35653.1095971338,38736.1084270002,21198.9061286381,6171.20311138994,63049.4992383148,4402.9368144224,12999.1818194601,7054.2335985942,54150.4852771505,14429.4684829376,18411.4623186382,113163.202803017,71762.7693869303,26406.7824603857,23612.5023026164,72522.8100061554,5716.81972946002,30144.808037539,5920.59895999871,40804.5088997504,193134.664957187,25490.1472577699,50963.9326968205,3252.65716090879,43623.2355564138,35578.1556408274,10306.0460076585,3968.76402082323
2011,Female,5,5126.25851117587,30026.4255897971,19689.5127532045,44763.0162897794,249535.665368485,34582.9143894372,20880.1246588727,2909.72979192485,5620.64073869323,107316.201493611,68620.7810788824,8222.34731918527,20036.3509872169,11964.3622804389,82902.9227486583,43132.1487658972,20135.3547604526,27872.5425071844,30767.1693674061,36867.187151804,36115.7412102045,7053.36392489462,59751.5776914674,35425.0943590355,38573.3546715741,20740.9994828089,6103.47412682292,62774.7454064437,4310.88880214619,12955.1121442235,7260.46751992287,54136.8290941285,14350.7365866963,18151.5980074743,112187.758510182,71923.1122236824,26081.4041874045,23462.5864959727,72540.7420661581,5784.29324666706,29735.9656238491,5838.30753710299,40525.3639012445,191906.008999158,25207.1850269432,50560.8862219121,3265.17652987981,43011.5146315232,35750.474056741,10246.4527099921,3893.02355447071
2011,Female,6,5062.59009598391,29823.2774719429,19499.006181631,44413.6970651821,247927.54732778,34745.8097741261,21339.3119943053,2755.61068631843,5622.67292310866,106256.954829208,68280.5175467776,8189.59708375269,19908.3519081306,11943.2445075699,83342.7974328396,43222.6297396506,20038.8982572029,27962.8899392284,30295.9918581214,37278.0986165109,36070.6585967009,7119.55707738854,60566.4029943381,35485.9073195812,38387.2751070167,20292.5514243843,6022.88892238945,62370.1692465422,4205.91513619257,12868.6154914123,7426.11346878802,54663.6939888531,14308.4234978548,18010.0315612885,112643.351661404,71996.0870385682,25782.4061453241,23333.2343075019,73199.8926386159,5851.31323871988,29328.8097230559,5740.01633102556,40446.6400723181,192004.261921999,25176.4769912,50554.1613847125,3277.82376028497,42681.2038930909,35925.9648008285,10280.6461591844,3793.58941460353
2011,Female,7,5006.37438931768,29743.1058553401,19281.0254074206,44155.1107223757,246506.605516965,34676.5182105102,21630.172640143,2629.09288587769,5577.69766399259,105375.949204973,68023.4962193052,8174.79454777102,19720.6835906928,11870.0181000106,83711.2683242069,43265.7039720907,19905.1277350252,27947.6796318405,29953.5804033369,37669.1417239971,36021.8551318776,7144.87809097805,61307.3864086439,35373.6598065372,38120.5119064122,19943.5127950905,5978.90473473624,61997.6331651966,4089.97330254596,12748.3461457491,7557.81245385568,55185.6935426562,14240.9005271258,17858.3943186683,113422.270832887,72081.8013767419,25520.3173448908,23212.2495749317,73798.0049517597,5892.87682163012,29014.8825555887,5590.0498406694,40419.4707227625,191920.492530845,25020.1011328451,50643.6077902258,3309.61800722817,42428.4326949042,35980.0147721114,10325.531153525,3694.74664321132
2011,Female,8,4954.40230133669,29788.3591841265,19118.6305835164,43790.961954276,244037.714605759,34306.8722971301,21681.0540148725,2544.40136247628,5482.33924538412,105125.774124115,67903.0077852702,8084.10296872667,19529.613662335,11762.6496606917,83327.2099979847,43062.8889717732,19674.9153310325,27479.3735552633,29660.6678518017,37914.7117212101,35851.054040227,7141.76978066865,61560.5822278907,34692.7235227407,37754.1582401206,19738.8143093364,5996.80708890604,61828.6684144447,3969.24221023488,12609.7301790713,7668.14568537388,55130.9553246337,14101.5957070408,17583.2200278627,113337.515017119,72295.7435971425,25285.5694394681,23089.3779236288,73690.8680773814,5890.82439789395,28870.676682445,5376.30384399074,40283.2896073239,190228.247133548,24441.8201250768,50458.3194553232,3364.85431098776,42067.782375379,35853.2469795718,10303.6146527781,3614.27383073789
2011,Female,9,4932.79054949155,30263.2072073345,19145.8964321073,43799.5235803778,243233.334678919,34024.7318593858,21848.3160887537,2490.32023400506,5448.07192382386,106391.612458601,68301.6247723818,8017.69109066178,19495.4578619764,11751.0480989855,83412.3390529987,43256.2310313008,19562.6535594497,27219.6808963973,29749.5785151664,38198.313868292,35981.6917687806,7190.97188035393,62168.9888873126,34179.1511351754,37792.2558346318,19882.5963012793,6018.23831998344,62323.3991664659,3873.13232062254,12510.4114515736,7752.80840759219,55169.5443382373,14054.7004409277,17466.6879588845,113591.314384048,73106.2449323067,25210.9137502756,23155.0119396024,73925.228225965,5894.47573569934,29112.2737013048,5224.71184445294,40446.4250728086,189300.983900765,23913.5259861379,50363.7823244924,3420.75452416717,41987.5437267949,35932.8119510061,10345.1522929244,3551.34660012147
