"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	33064
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	34427
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	33500
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	33848
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	33912
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	33914
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	34731
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	34726
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	34688
	"< 1 year"	"0"	"Female"	"F"	"2020"	"2020"	34336
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	34221
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	35814
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	34899
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	35237
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	35025
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	35273
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	35672
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	36627
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	36063
	"< 1 year"	"0"	"Male"	"M"	"2020"	"2020"	35782
	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	32239
	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	33100
	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	34471
	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	33552
	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	33900
	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	33955
	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	33954
	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	34760
	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	34764
	"1 year"	"1"	"Female"	"F"	"2020"	"2020"	34718
	"1 year"	"1"	"Male"	"M"	"2011"	"2011"	33076
	"1 year"	"1"	"Male"	"M"	"2012"	"2012"	34268
	"1 year"	"1"	"Male"	"M"	"2013"	"2013"	35840
	"1 year"	"1"	"Male"	"M"	"2014"	"2014"	34909
	"1 year"	"1"	"Male"	"M"	"2015"	"2015"	35256
	"1 year"	"1"	"Male"	"M"	"2016"	"2016"	35079
	"1 year"	"1"	"Male"	"M"	"2017"	"2017"	35330
	"1 year"	"1"	"Male"	"M"	"2018"	"2018"	35719
	"1 year"	"1"	"Male"	"M"	"2019"	"2019"	36675
	"1 year"	"1"	"Male"	"M"	"2020"	"2020"	36105
	"2 years"	"2"	"Female"	"F"	"2011"	"2011"	31713
