Gender,Age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
F,0,10658,10490,10321,10329,10447,10294,9867,9399,9247,8723
F,1,754,727,728,663,678,694,658,617,649,579
F,2,444,459,426,425,442,474,405,435,401,377
F,3,345,359,320,312,316,323,312,291,320,309
F,4,298,278,271,258,248,298,273,244,265,238
F,5,245,248,250,241,222,256,211,230,245,210
F,6,219,203,226,202,233,206,213,212,224,198
F,7,202,173,190,188,207,240,219,176,196,201
F,8,210,188,195,188,195,194,206,221,184,192
F,9,195,202,183,181,168,217,206,205,194,164
F,10,202,191,194,165,167,189,200,222,189,181
F,11,177,200,198,189,198,227,218,247,212,203
F,12,205,209,232,222,225,221,218,252,250,264
F,13,237,243,293,259,291,258,274,283,293,303
F,14,330,307,302,287,352,354,337,321,324,345
F,15,361,392,348,367,368,399,423,397,383,433
F,16,497,497,422,439,486,507,512,472,445,524
F,17,618,520,539,544,569,613,551,594,533,593
F,18,694,701,655,645,743,776,744,730,760,831
F,19,806,740,757,763,833,804,807,807,776,946
F,20,837,856,861,819,866,901,904,890,861,974
F,21,987,938,894,975,993,1032,1028,946,950,1163
F,22,959,1009,976,1039,1021,1107,1087,1010,973,1168
F,23,1011,1009,1067,1012,1088,1198,1207,1110,1167,1338
F,24,973,1064,1103,1071,1181,1225,1259,1190,1175,1362
F,25,1108,1066,1050,1139,1285,1379,1413,1298,1271,1563
F,26,1154,1144,1170,1242,1260,1476,1413,1458,1390,1613
F,27,1113,1167,1234,1201,1327,1536,1665,1582,1519,1819
F,28,1172,1294,1279,1312,1386,1564,1745,1687,1628,1951
F,29,1333,1370,1300,1412,1467,1587,1655,1807,1719,2196
F,30,1417,1497,1404,1367,1601,1725,1786,1902,1882,2336
F,31,1544,1486,1502,1518,1641,1907,1916,1870,1943,2307
F,32,1552,1507,1614,1651,1848,1977,2028,2064,1994,2527
F,33,1565,1639,1664,1779,1926,2022,2166,2140,2273,2653
F,34,1705,1638,1784,1859,1995,2186,2279,2172,2208,2689
F,35,1696,1783,1898,2027,2064,2318,2385,2393,2327,2860
F,36,1902,1833,1893,1978,2243,2461,2460,2509,2472,2980
F,37,1936,1923,2007,2191,2206,2441,2662,2584,2626,3282
F,38,2194,2096,2163,2243,2387,2606,2519,2711,2896,3342
F,39,2397,2369,2316,2386,2327,2642,2770,2897,3076,3551
F,40,2821,2654,2596,2530,2602,2739,2898,2867,3011,3714
F,41,2960,3036,2890,2930,2833,2863,2956,2987,3071,3947
F,42,3327,3295,3337,3306,3182,3134,3277,3097,3136,3867
F,43,3531,3508,3622,3658,3488,3495,3436,3413,3370,4143
F,44,3914,3736,3779,4054,4086,3878,3641,3546,3565,4310
F,45,4324,4176,4126,4180,4386,4549,4140,4032,3861,4725
F,46,5123,4666,4486,4501,4655,4860,4863,4615,4261,4986
F,47,5592,5404,5151,4929,4891,4931,5251,5077,4786,5510
F,48,6209,6159,5756,5640,5534,5386,5441,5463,5542,6121
F,49,6912,6687,6783,6485,6104,6090,5780,5717,5931,6935
F,50,7584,7385,7282,7206,7051,6721,6490,6122,6211,7503
F,51,8140,8173,8081,8153,7852,7660,7200,6938,6545,7879
F,52,8730,8648,8749,8708,8731,8543,8160,7568,7183,8378
F,53,9094,9119,9353,9584,9482,9477,9047,8559,8043,9133
F,54,9830,9832,9960,10154,10261,10213,9966,9716,9183,10128
F,55,10212,10465,10694,11028,10922,11212,10959,10576,10259,11416
F,56,10407,11110,11397,11703,11834,11931,11882,11699,11173,12646
F,57,11308,11452,11907,12409,12584,12662,12929,12654,12317,14072
F,58,11376,11875,12323,12721,13361,13403,13554,13478,13439,14885
F,59,11840,12333,12664,13317,13716,14288,14387,14295,14210,16549
F,60,12231,12860,13300,13950,14201,14892,15369,15164,15391,17950
F,61,12871,13443,13757,14487,14911,15278,15902,16209,16341,18791
F,62,14066,13856,14272,15106,15645,16291,16467,16737,17321,19903
F,63,15372,15102,15109,15636,16212,16695,17301,17658,17837,21307
F,64,16991,16159,16379,16253,16773,17409,17921,18093,18724,21903
F,65,14478,17897,17798,17247,17507,17934,18620,18893,19046,23040
F,66,14986,15381,19252,18776,18684,18641,19061,19488,19793,23754
F,67,16541,15983,16422,20820,20246,20160,19936,20398,20479,24675
F,68,18091,17908,17386,17638,22174,21599,21697,21238,21517,25638
F,69,18006,19406,19327,18551,19241,23932,23515,22681,22639,26545
F,70,18205,19152,21123,20463,20339,20393,25874,24851,24422,28093
F,71,18554,19421,20607,22721,22047,21484,21865,27574,26607,30411
F,72,19650,19729,20718,22015,24821,23542,23530,23635,29424,32904
F,73,20698,20487,21322,22035,23855,26233,25389,24854,25287,36024
F,74,21567,22047,22576,22627,23755,25420,28192,27255,26098,31424
F,75,22953,22852,23565,24000,24903,25708,27378,30233,28571,32471
F,76,24646,24558,24641,25278,25854,25901,27440,29114,31604,35223
F,77,25388,26267,26270,26054,27548,27585,28187,29172,30493,38868
F,78,27299,26622,28026,27740,28172,28945,29753,29931,30611,37865
F,79,29619,29213,28646,29741,30209,29905,31235,31323,31718,38013
F,80,32159,31478,31091,30461,32182,31952,32267,32969,33085,39250
F,81,34935,33702,33263,32751,32253,33568,33792,33960,34649,40652
F,82,36429,36596,35797,34962,35303,34222,35949,35918,35705,42717
F,83,39109,37835,38500,37073,37496,36058,36345,37682,37703,43079
F,84,40995,40624,39874,40014,39800,38253,38742,37715,38788,45088
F,85,42802,42498,42949,40829,42054,41051,40257,39910,38617,47065
F,86,44784,43897,43693,42888,43027,42459,42520,41504,40701,46597
F,87,45626,45483,45237,44472,45252,43269,44273,43316,42209,47976
F,88,45059,45966,46317,44108,45915,44814,44242,44841,43076,49222
F,89,45776,45092,45776,44633,45567,44823,44878,44546,44433,50496
F,90,43922,44870,44039,44337,45974,44061,45156,44795,43295,50353
F,91,40280,41546,42634,41927,43774,43368,43444,43599,42575,47827
F,92,35454,37422,39388,39888,40511,40362,41763,40559,40611,46246
F,93,32438,31890,34835,35792,37836,36549,37919,38039,37326,43524
F,94,27745,29296,29241,31035,33025,33094,33888,34273,34401,38592
F,95,24108,24426,25327,24839,28012,28427,30096,29842,29725,34265
F,96,20197,20095,20696,21551,21971,23356,24926,25380,25132,29225
F,97,16270,16581,16709,16782,18143,17890,19849,20824,20719,23833
F,98,12398,12816,13496,13130,14032,14343,14709,15743,16217,18959
F,99,9190,9456,9757,9879,10313,10451,11323,11237,11769,14392
F,100,19071,19870,20642,21351,22591,22790,23926,24554,24775,29313
M,0,13327,13139,13119,12886,13008,12867,12468,12068,11674,10859
M,1,918,900,929,793,913,874,859,831,825,785
M,2,619,620,589,566,565,572,587,612,515,512
M,3,492,461,431,429,462,468,461,454,390,416
M,4,376,414,374,384,341,342,325,346,311,313
